id,Fattening_group.Pen,age,weight,dfi,cfi
4,202001-68,49,84.0,2.627,124.35226049968625
4,202001-68,50,85.5,1.87,126.22226049968626
4,202001-68,51,86.375,2.116,128.33826049968627
4,202001-68,52,86.5,2.665,131.00326049968626
4,202001-68,53,82.5,2.04,133.04326049968626
4,202001-68,54,84.125,3.012,136.05526049968626
4,202001-68,55,85.25,1.597,137.65226049968626
4,202001-68,56,86.0,2.218,139.87026049968625
4,202001-68,57,86.0,2.032,141.90226049968626
4,202001-68,58,86.5,2.036,143.93826049968627
4,202001-68,59,87.5,1.518,145.45626049968627
4,202001-68,60,88.25,2.373,147.82926049968626
4,202001-68,61,90.0,1.614,149.44326049968626
4,202001-68,62,90.75,2.398,151.84126049968626
4,202001-68,63,92.0,2.149,153.99026049968626
4,202001-68,64,93.5,1.923,155.91326049968626
4,202001-68,65,95.0,2.677,158.59026049968625
4,202001-68,66,95.5,2.31,160.90026049968625
4,202001-68,67,97.0,2.435,163.33526049968626
4,202001-68,68,98.25,2.105,165.44026049968625
4,202001-68,69,98.5,2.391,167.83126049968624
4,202001-68,70,101.0,2.492,170.32326049968623
4,202001-68,71,102.5,1.878,172.2012604996862
4,202001-68,72,102.25,2.898,175.0992604996862
4,202001-68,73,103.0,1.998,177.0972604996862
4,202001-68,74,103.25,2.333,179.4302604996862
4,202001-68,75,104.75,2.007,181.4372604996862
4,202001-68,76,104.5,2.277,183.7142604996862
74,202001-69,1,60.29,1.038,57.48832414140253
74,202001-69,2,61.246,1.564,59.05232414140253
74,202001-69,3,62.203,1.464,60.51632414140253
74,202001-69,4,63.159,1.524,62.04032414140253
74,202001-69,5,64.115,1.847,63.88732414140253
74,202001-69,6,65.071,1.642,65.52932414140253
74,202001-69,7,66.0,1.829,67.35832414140252
74,202001-69,8,67.0,1.569,68.92732414140252
74,202001-69,9,67.75,1.796,70.72332414140253
74,202001-69,10,69.0,1.863,72.58632414140253
74,202001-69,11,69.5,1.817,74.40332414140252
74,202001-69,12,71.0,2.041,76.44432414140252
74,202001-69,13,72.25,1.824,78.26832414140252
74,202001-69,14,73.0,2.221,80.48932414140252
74,202001-69,15,73.0,2.084,82.57332414140252
74,202001-69,16,74.5,1.972,84.54532414140252
74,202001-69,17,75.0,2.189,86.73432414140251
74,202001-69,18,76.5,1.879,88.61332414140252
74,202001-69,19,77.0,1.737,90.35032414140251
74,202001-69,20,78.0,2.244,92.59432414140251
74,202001-69,21,79.0,1.891,94.48532414140251
74,202001-69,22,80.0,2.236,96.72132414140252
74,202001-69,23,80.5,2.21,98.93132414140251
74,202001-69,24,81.0,2.265,101.19632414140251
74,202001-69,25,82.0,2.255,103.45132414140251
74,202001-69,26,83.5,2.274,105.72532414140251
74,202001-69,27,83.5,1.827,107.55232414140251
74,202001-69,28,85.0,2.331,109.88332414140251
74,202001-69,29,86.5,2.702,112.58532414140251
74,202001-69,30,87.5,2.594,115.1793241414025
74,202001-69,31,89.5,2.492,117.67132414140251
74,202001-69,32,90.0,2.844,120.5153241414025
74,202001-69,33,90.5,2.588,123.1033241414025
74,202001-69,34,93.0,2.743,125.84632414140249
74,202001-69,35,93.0,2.383,128.2293241414025
74,202001-69,36,93.25,2.314,130.54332414140248
74,202001-69,37,94.5,2.646,133.18932414140247
74,202001-69,38,95.5,2.331,135.52032414140245
74,202001-69,39,97.0,2.606,138.12632414140245
74,202001-69,40,98.5,2.935,141.06132414140245
