id,age,dfi,weight
13,36,2.053,74.75
13,37,2.05,75.0
13,38,2.458,76.5
13,39,2.15,77.5
13,40,2.407,79.0
13,41,2.549,80.5
13,42,2.259,80.75
13,43,2.398,80.0
13,44,2.65,82.5
13,45,2.235,84.0
13,46,2.543,85.0
13,47,2.64,85.5
13,48,2.016,86.0
13,49,2.267,87.5
13,50,2.426,88.5
13,51,2.586,89.5
13,52,2.124,90.25
13,53,2.358,90.981
13,54,2.368,91.875
13,55,2.378,92.769
13,56,2.513,93.0
13,57,1.963,95.0
13,58,2.924,95.0
13,59,1.996,96.5
13,60,2.76,97.75
13,61,2.557,98.25
13,62,2.341,99.25
13,63,2.59,99.5
13,64,2.373,101.75
13,65,2.615,101.5
13,66,1.462,104.0
13,67,2.561,102.0
13,68,2.551,106.0
13,69,2.566,107.5
13,70,2.747,108.5
13,71,2.484,110.5
38,1,1.032,36.0
38,2,1.108,37.5
38,3,1.247,38.0
38,4,1.214,38.0
38,5,1.727,38.5
38,6,1.521,39.5
38,7,1.836,41.0
38,8,1.611,42.0
38,9,1.704,43.5
38,10,1.752,44.5
38,11,1.546,43.0
38,12,1.583,43.5
38,13,1.601,44.5
38,14,1.515,45.0
38,15,1.759,45.5
38,16,1.865,47.0
38,17,1.779,48.0
38,18,1.685,49.25
38,19,1.853,50.0
38,20,2.113,52.0
38,21,1.592,53.0
38,22,1.65,54.0
38,23,1.744,55.25
38,24,1.872,56.25
38,25,1.863,57.625
38,26,2.01,58.75
38,27,1.79,59.375
38,28,2.101,60.5
38,29,2.059,61.0
38,30,2.009,62.75
38,31,2.116,63.5
38,32,2.011,64.0
38,33,2.166,65.0
38,34,2.077,66.25
38,35,2.063,66.75
38,36,1.974,68.0
38,37,1.786,68.5
38,38,2.117,69.5
38,39,2.114,70.0
38,40,1.94,71.5
38,41,1.992,72.5
38,42,2.262,73.0
38,43,2.194,73.0
38,44,2.134,75.0
38,45,2.359,76.0
38,46,2.241,77.0
38,47,2.135,77.5
38,48,1.941,78.5
38,49,1.857,79.5
38,50,1.9,79.5
38,51,2.126,81.0
38,52,2.228,81.75
38,53,2.136,82.897
38,54,2.167,83.829
38,55,2.199,84.762
38,56,2.08,85.75
38,57,2.5,87.0
38,58,2.128,87.5
38,59,2.481,88.5
38,60,2.201,89.5
38,61,2.266,90.0
38,62,2.519,91.0
38,63,2.053,91.5
38,64,2.281,92.75
38,65,2.517,93.5
38,66,2.22,95.0
38,67,1.805,96.0
38,68,2.478,98.0
38,69,2.406,100.0
38,70,3.15,100.0
38,71,2.665,100.5
85,1,0.833,33.442
85,2,0.894,34.25
85,3,1.037,34.5
85,4,1.377,36.0
85,5,1.754,37.0
85,6,1.396,37.5
85,7,1.521,39.0
85,8,1.518,39.0
85,9,1.001,40.0
85,10,1.211,40.5
85,11,1.234,40.75
85,12,1.569,41.0
85,13,1.405,42.25
85,14,1.654,43.5
85,15,1.135,44.5
85,16,1.422,45.0
85,17,1.828,46.0
85,18,1.396,47.5
85,19,1.877,48.0
85,20,1.507,49.5
85,21,1.855,50.0
85,22,1.839,49.0
85,23,1.797,49.0
85,24,1.691,50.5
85,25,1.923,51.5
85,26,1.908,52.75
85,27,1.636,53.0
85,28,2.147,54.25
85,29,1.853,55.75
85,30,2.076,57.5
85,31,1.873,57.0
85,32,1.821,57.5
85,33,1.811,59.0
85,34,1.878,59.75
85,35,1.716,61.0
85,36,1.686,61.75
85,37,2.136,61.5
85,38,1.78,63.5
85,39,2.067,63.5
85,40,1.899,65.75
85,41,1.667,66.0
85,42,2.909,65.25
85,43,2.345,66.75
85,44,2.4,68.25
85,45,2.541,71.5
85,46,2.409,71.5
85,47,1.904,72.5
85,48,2.418,73.0
85,49,2.265,75.0
85,50,2.716,75.75
85,51,2.247,77.0
85,52,2.607,79.0
85,53,2.438,79.112
85,54,2.46,80.208
85,55,2.481,81.305
85,56,2.174,82.0
85,57,2.675,83.0
85,58,2.351,83.5
85,59,3.009,86.5
85,60,2.465,87.25
85,61,2.623,88.5
85,62,2.859,89.75
85,63,2.392,90.0
85,64,2.574,91.5
85,65,2.01,90.5
85,66,2.814,93.0
85,67,2.424,92.75
85,68,2.914,95.75
85,69,2.39,96.75
85,70,2.665,97.875
85,71,2.47,100.25
60,1,0.958,28.625
60,2,0.176,30.25
60,3,1.047,30.317
60,4,0.973,31.214
60,5,1.212,28.5
60,6,1.351,34.75
60,7,1.727,35.0
60,8,1.412,35.5
60,9,1.896,36.75
60,10,1.775,34.625
60,11,1.814,36.625
60,12,2.005,40.5
60,13,2.005,41.0
60,14,2.113,43.25
60,15,2.02,42.5
60,16,1.873,42.25
60,17,1.777,43.5
60,18,2.367,44.5
60,19,1.755,47.25
60,20,1.476,47.5
60,21,1.899,47.25
60,22,1.835,48.0
60,23,1.658,47.75
60,24,1.51,49.5
60,25,2.038,50.5
60,26,1.296,52.0
60,27,1.931,52.0
60,28,2.164,53.875
60,29,2.95,55.0
60,30,1.715,56.5
60,31,2.179,57.015
60,32,2.204,58.027
60,33,2.23,59.039
60,34,2.707,60.0
60,35,2.188,61.5
60,36,1.879,61.75
60,37,2.517,63.0
60,38,1.988,63.75
60,39,2.246,64.25
60,40,2.058,66.0
60,41,1.89,67.0
60,42,2.523,67.75
60,43,1.79,68.5
60,44,2.688,70.0
60,45,2.133,71.5
60,46,1.484,72.0
60,47,2.665,73.0
60,48,2.078,73.5
60,49,1.842,74.0
60,50,1.751,73.5
60,51,2.082,76.0
60,52,2.484,78.25
60,53,1.786,77.0
60,54,3.488,79.5
60,55,2.576,80.712
60,56,3.087,82.0
60,57,2.035,83.5
60,58,3.194,84.5
60,59,2.941,85.0
60,60,1.732,88.0
60,61,3.246,88.25
60,62,2.488,89.0
60,63,2.737,90.75
60,64,2.39,92.5
60,65,2.042,91.5
60,66,2.391,92.75
60,67,2.884,94.0
60,68,2.516,95.75
60,69,2.817,97.0
72,1,1.338,38.47
72,2,1.599,39.0
72,3,2.131,40.75
72,4,1.635,41.5
72,5,1.66,41.75
72,6,1.858,42.25
72,7,1.904,44.0
72,8,1.951,44.5
72,9,2.156,45.5
72,10,2.148,46.75
72,11,1.952,48.0
72,12,2.1,49.5
72,13,1.749,50.75
72,14,2.523,51.0
72,15,2.12,51.0
72,16,2.363,51.0
72,17,2.1,52.5
72,18,2.53,53.0
72,19,2.412,55.5
72,20,2.253,57.0
72,21,2.567,57.0
72,22,2.584,59.25
72,23,2.616,59.75
72,24,2.274,61.0
72,25,2.21,61.5
72,26,2.615,63.25
72,27,2.444,63.75
72,28,2.106,65.0
72,29,0.702,65.99
72,30,2.063,67.015
72,31,2.108,68.04
72,32,2.154,69.065
72,33,2.199,70.09
72,34,2.399,71.5
72,35,2.608,72.0
72,36,2.44,73.0
72,37,2.067,74.0
72,38,2.564,74.5
72,39,2.865,76.0
72,40,2.45,77.5
72,41,3.088,79.0
72,42,2.767,78.75
72,43,2.372,80.5
72,44,3.313,82.0
72,45,2.712,82.0
72,46,2.99,84.0
72,47,2.832,86.0
72,48,2.944,87.0
72,49,3.173,88.0
72,50,2.093,87.5
72,51,2.917,88.0
72,52,2.08,89.5
72,53,3.169,91.5
72,54,2.875,93.25
72,55,3.14,94.587
72,56,3.317,96.375
72,57,3.722,98.0
72,58,3.548,98.75
72,59,3.857,100.5
72,60,2.926,101.5
72,61,4.113,104.0
72,62,2.597,104.5
72,63,3.483,105.0
72,64,2.817,105.25
72,65,2.705,104.75
72,66,2.01,105.25
72,67,2.462,107.0
72,68,3.703,109.5
72,69,2.734,110.5
42,1,0.924,41.25
42,2,1.275,37.5
42,3,0.864,39.5
42,4,1.458,39.5
42,5,1.481,41.0
42,6,1.521,43.0
42,7,1.522,44.0
42,8,1.676,44.5
42,9,1.635,46.0
42,10,1.849,46.5
42,11,1.708,47.25
42,12,2.117,48.5
42,13,1.827,49.5
42,14,2.377,50.25
42,15,1.977,52.0
42,16,1.713,52.0
42,17,1.942,53.5
42,18,2.258,55.0
42,19,2.096,55.5
42,20,1.822,56.5
42,21,2.02,57.5
42,22,2.085,58.5
42,23,2.126,59.0
42,24,1.766,59.75
42,25,2.007,61.5
42,26,2.482,63.0
42,27,2.137,63.75
42,28,2.125,64.25
42,29,2.388,65.75
42,30,2.223,67.5
42,31,2.096,66.992
42,32,2.067,67.808
42,33,2.038,68.623
42,34,1.868,68.5
42,35,1.852,69.0
42,36,1.525,71.0
42,37,2.33,72.25
42,38,1.843,73.5
42,39,2.359,74.0
42,40,1.952,75.0
42,41,2.438,77.0
42,42,2.088,77.0
42,43,1.946,79.25
42,44,2.147,78.75
42,45,1.776,80.0
42,46,2.39,81.5
42,47,2.524,82.75
42,48,2.326,83.75
42,49,2.089,85.0
42,50,2.283,86.75
42,51,2.265,87.0
42,52,1.326,88.5
42,53,1.158,85.0
42,54,0.844,89.535
42,55,2.064,90.584
42,56,3.099,91.5
42,57,2.352,94.0
42,58,2.843,94.0
42,59,2.519,95.25
42,60,2.934,96.75
42,61,2.127,97.5
42,62,2.805,99.0
42,63,2.497,99.5
42,64,1.556,100.5
42,65,2.678,100.5
42,66,2.364,103.25
42,67,3.14,104.25
42,68,2.466,105.75
42,69,3.047,106.5
76,1,1.483,38.0
76,2,1.584,39.25
76,3,1.305,41.0
76,4,1.661,40.75
